"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","Chris Wondolowski","SJE","2021","F","$390,000","$400,000","2021-09-30"
"","Diego Fagundez","ATX","2021","M","$400,000","$400,000","2021-09-30"
"","Gudmundur Thórarinsson","NYC","2021","D","$400,000","$400,000","2021-09-30"
"","Tyler Blackett","CIN","2021","D","$398,400","$398,400","2021-09-30"
"","Youba Diarra","NYRB","2021","M","$337,000","$398,046","2021-09-30"
"","Corey Baird","HOU","2021","F","$365,000","$396,031","2021-09-30"
"","Luciano Abecasis","SJE","2021","D","$380,000","$394,000","2021-09-30"
"","Daniel Steres","LAG","2021","D","$375,000","$393,750","2021-09-30"
"","Teal Bunbury","NER","2021","M","$375,000","$391,667","2021-09-30"
"","Geoff Cameron","CIN","2021","D","$336,000","$389,667","2021-09-30"
"","Auro","TOR","2021","D","$360,000","$388,750","2021-09-30"
"","Janio Bikel","VAN","2021","M","$350,000","$388,750","2021-09-30"
"","Russell Teibert","VAN","2021","M","$350,000","$387,500","2021-09-30"
"","Yeimar Gómez Andrade","SEA","2021","D","$300,000","$387,000","2021-09-30"
"","Jason Pendant","NYRB","2021","D","$325,000","$385,750","2021-09-30"
"","Rodney Redes","ATX","2021","F","$385,000","$385,000","2021-09-30"
"","Luis Díaz","CLB","2021","M","$350,004","$383,904","2021-09-30"
"","Lassi Lappalainen","MTL","2021","M","$383,657","$383,657","2021-09-30"
"","Nicolás Mezquida","COL","2021","M","$350,000","$380,000","2021-09-30"
"","Latif Blessing","LAFC","2021","M","$360,000","$376,667","2021-09-30"
"","William Yarbrough","COL","2021","GK","$300,000","$375,000","2021-09-30"
"","Brooks Lennon","ATL","2021","D","$375,000","$375,000","2021-09-30"
"","Matt Turner","NER","2021","GK","$375,000","$375,000","2021-09-30"
"","Luka Stojanovic","CHI","2021","M","$314,000","$373,400","2021-09-30"
"","Adam Lundkvist","HOU","2021","D","$325,000","$372,500","2021-09-30"
"","Marcos López","SJE","2021","D","$330,000","$370,250","2021-09-30"
"","Franco Ibarra","ATL","2021","D","$300,000","$370,000","2021-09-30"
"","Judson","SJE","2021","M","$360,000","$365,000","2021-09-30"
"","Harrison Afful","CLB","2021","D","$335,000","$365,000","2021-09-30"
"","David Jensen","NYRB","2021","GK","$324,996","$364,631","2021-09-30"
"","Matías Vera","HOU","2021","M","$350,000","$356,250","2021-09-30"
"","Mathias Jørgensen","NYRB","2021","F","$325,000","$356,250","2021-09-30"
"","Keaton Parks","NYC","2021","M","$350,000","$350,000","2021-09-30"
"","Nick Lima","ATX","2021","D","$350,000","$350,000","2021-09-30"
"","Luis Caicedo","NER","2021","M","$350,000","$350,000","2021-09-30"
"","Rodrigo Piñeiro","NSH","2021","F","$250,000","$347,500","2021-09-30"
"","Ryan Hollingshead","FCD","2021","D","$346,500","$346,500","2021-09-30"
"","Aaron Herrera","RSL","2021","D","$315,000","$343,794","2021-09-30"
"","Szabolcs Schon","FCD","2021","F","$300,000","$341,800","2021-09-30"
"","Kemar Lawrence","TOR","2021","D","$258,000","$340,500","2021-09-30"
"","Luis Martins","SKC","2021","D","$340,000","$340,000","2021-09-30"
"","Jack Elliott","PHI","2021","D","$325,000","$340,000","2021-09-30"
"","Sega Coulibaly","LAG","2021","D","$300,000","$337,000","2021-09-30"
"","Daniel Gazdag","PHI","2021","M","$300,000","$336,250","2021-09-30"
"","Stanislav Ivanov","CHI","2021","M","$275,000","$334,000","2021-09-30"
"","Erickson Gallardo","TOR","2021","M","$300,000","$331,913","2021-09-30"
"","Déiber Caicedo","VAN","2021","M","$300,000","$331,125","2021-09-30"
"","Matt Polster","NER","2021","D","$300,000","$328,438","2021-09-30"
"","Silvester van der Water","ORL","2021","F","$300,000","$325,750","2021-09-30"
"","Mateo Bajamich","HOU","2021","F","$264,000","$324,069","2021-09-30"
"","Claudio Bravo","POR","2021","D","$300,000","$323,310","2021-09-30"
"","Jonathan Bornstein","CHI","2021","D","$300,000","$323,200","2021-09-30"
"","Osvaldo Alonso","MIN","2021","M","$300,000","$322,000","2021-09-30"
"","Julio Cascante","ATX","2021","D","$290,000","$317,500","2021-09-30"
"","Joe Willis","NSH","2021","GK","$300,000","$316,250","2021-09-30"
"","Frédéric Brillant","DCU","2021","D","$300,000","$315,000","2021-09-30"
"","Jake Mulraney","ATL","2021","M","$275,600","$312,777","2021-09-30"
"","Mandela Egbo","NYRB","2021","D","$276,000","$310,700","2021-09-30"
"","Ryan Shawcross","MIA","2021","D","$300,000","$307,500","2021-09-30"
"","Jukka Raitala","MIN","2021","D","$285,000","$306,350","2021-09-30"
"","Andrew Gutman","NYRB","2021","D","$275,000","$306,250","2021-09-30"
"","Dominique Badji","COL","2021","F","$300,000","$306,250","2021-09-30"
"","Josh Williams","CLB","2021","D","$300,000","$302,500","2021-09-30"
"","Perry Kitchen","CLB","2021","M","$275,000","$301,667","2021-09-30"
"","Álvaro Barreal","CIN","2021","F","$300,000","$300,000","2021-09-30"
"","Keegan Rosenberry","COL","2021","D","$285,000","$298,750","2021-09-30"
"","Kelvin Leerdam","MIA","2021","D","$180,000","$297,625","2021-09-30"
"","Santiago Moreno","POR","2021","F","$250,000","$294,576","2021-09-30"
"","Ibrahim Sunusi","MTL","2021","F","$200,000","$291,250","2021-09-30"
"","Memo Rodríguez","HOU","2021","M","$265,000","$290,935","2021-09-30"
"","Joe Corona","HOU","2021","M","$275,000","$290,000","2021-09-30"
"","Tesho Akindele","ORL","2021","F","$275,000","$290,000","2021-09-30"
"","Danny Wilson","COL","2021","D","$275,000","$288,750","2021-09-30"
"","Quentin Westberg","TOR","2021","GK","$275,000","$288,583","2021-09-30"
"","Gustavo Vallecilla","CIN","2021","D","$252,000","$284,880","2021-09-30"
"","Matej Oravec","PHI","2021","M","$270,000","$284,500","2021-09-30"
"","Cristhian Paredes","POR","2021","M","$252,000","$283,500","2021-09-30"
"","Andrew Tarbell","ATX","2021","GK","$275,000","$283,333","2021-09-30"
"","Emmanuel Más","ORL","2021","D","$252,000","$282,000","2021-09-30"
"","Shea Salinas","SJE","2021","F","$280,000","$280,000","2021-09-30"
"","Zarek Valentin","HOU","2021","D","$250,000","$280,000","2021-09-30"
"","Brandon Vázquez","CIN","2021","F","$250,000","$279,167","2021-09-30"
"","Malte Amundsen","NYC","2021","D","$240,000","$278,700","2021-09-30"
"","Joevin Jones","MIA","2021","D","$180,000","$278,100","2021-09-30"
"","Dairon Asprilla","POR","2021","M","$275,000","$277,500","2021-09-30"
"","Maxime Crépeau","VAN","2021","GK","$250,000","$277,500","2021-09-30"
"","Ballou Tabla","MTL","2021","M","$250,000","$276,250","2021-09-30"
"","Anton Walkes","ATL","2021","D","$250,000","$275,062","2021-09-30"
"","Brendan Hines-Ike","DCU","2021","D","$240,000","$274,429","2021-09-30"
"","Isaac Atanga","CIN","2021","F","$259,000","$273,000","2021-09-30"
"","Joe Gyau","CIN","2021","D","$273,000","$273,000","2021-09-30"
"","Alexandre Pato","ORL","2021","F","$272,727","$272,727","2021-09-30"
"","Brandon Servania","FCD","2021","M","$230,400","$271,400","2021-09-30"
"","Ricardo Pepi","FCD","2021","F","$200,000","$271,333","2021-09-30"
"","Jake Nerwinski","VAN","2021","D","$255,000","$270,000","2021-09-30"
"","Ryan Meara","NYRB","2021","GK","$270,000","$270,000","2021-09-30"
"","Przemyslaw Tyton","CIN","2021","GK","$262,500","$269,375","2021-09-30"
"","Ulises Segura","ATX","2021","M","$240,000","$269,125","2021-09-30"
"","Jimmy Maurer","FCD","2021","GK","$250,000","$267,888","2021-09-30"
"","Matheus Aias","ORL","2021","F","$252,000","$267,500","2021-09-30"
"","Tommy Thompson","SJE","2021","D","$265,000","$265,000","2021-09-30"
"","Nick DeLeon","TOR","2021","D","$247,500","$263,242","2021-09-30"
"","Nick Marsman","MIA","2021","GK","$150,000","$262,188","2021-09-30"
"","Federico Navarro","CHI","2021","M","$180,000","$257,500","2021-09-30"
"","Davó","PHI","2021","M","$240,000","$253,000","2021-09-30"
"","Braian Galván","COL","2021","F","$160,000","$252,375","2021-09-30"
"","José Andrés Martínez","PHI","2021","M","$225,000","$251,250","2021-09-30"
"","Fabian Herbers","CHI","2021","M","$230,000","$251,250","2021-09-30"
"","Cameron Harper","NYRB","2021","M","$200,000","$251,250","2021-09-30"
"","A.J. DeLaGarza","NER","2021","D","$250,000","$250,000","2021-09-30"
"","Héctor Jiménez","ATX","2021","D","$250,000","$250,000","2021-09-30"
"","Steve Clark","POR","2021","GK","$250,000","$250,000","2021-09-30"
"","Ronald Hernández","ATL","2021","D","$250,000","$250,000","2021-09-30"
"","José Bizama","HOU","2021","D","$225,000","$250,000","2021-09-30"
"","Ben Sweat","ATX","2021","D","$250,000","$250,000","2021-09-30"
"","Joaquín Torres","MTL","2021","M","$200,000","$249,800","2021-09-30"
"","Cristian Cásseres Jr","NYRB","2021","M","$205,000","$249,000","2021-09-30"
"","Patrick Mullins","TOR","2021","F","$234,996","$248,329","2021-09-30"
"","Sacha Kljestan","LAG","2021","M","$247,350","$247,350","2021-09-30"
"","Mark-Anthony Kaye","COL","2021","M","$235,625","$247,188","2021-09-30"
"","Lalas Abubakar","COL","2021","D","$210,000","$247,125","2021-09-30"
"","Ema Twumasi","FCD","2021","F","$200,000","$246,900","2021-09-30"
"","Alex Muyl","NSH","2021","M","$240,000","$246,563","2021-09-30"
"","Erik Hurtado","CLB","2021","F","$218,182","$245,682","2021-09-30"
"","Darwin Cerén","HOU","2021","M","$195,500","$245,500","2021-09-30"
"","Lucas Monzón","NYRB","2021","D","$205,000","$243,917","2021-09-30"
"","George Fochive","POR","2021","M","$240,000","$240,000","2021-09-30"
"","Jasser Khmiri","VAN","2021","D","$240,000","$240,000","2021-09-30"
"","Alexander Alvarado","ORL","2021","F","$220,000","$238,240","2021-09-30"
"","Abu Danladi","NSH","2021","F","$180,000","$237,000","2021-09-30"
"","Eryk Williamson","POR","2021","M","$220,000","$236,500","2021-09-30"
"","Aljaz Ivacic","POR","2021","GK","$225,000","$235,000","2021-09-30"
"","Bill Tuiloma","POR","2021","D","$220,000","$234,125","2021-09-30"
"","Bruno Gaspar","VAN","2021","D","$200,000","$233,333","2021-09-30"
"","Mason Toye","MTL","2021","F","$175,000","$233,000","2021-09-30"
"","Ariel Lassiter","HOU","2021","F","$210,000","$230,280","2021-09-30"
"","Waylon Francis","CLB","2021","D","$220,000","$230,000","2021-09-30"
"","Richie Laryea","TOR","2021","M","$200,000","$226,953","2021-09-30"
"","Dave Romney","NSH","2021","D","$225,000","$225,000","2021-09-30"
"","Tommy McNamara","NER","2021","M","$225,000","$225,000","2021-09-30"
"","Zan Kolmanic","ATX","2021","D","$225,000","$225,000","2021-09-30"
"","Daniel Vega","SJE","2021","GK","$220,000","$225,000","2021-09-30"
"","Eddie Segura","LAFC","2021","D","$200,000","$224,000","2021-09-30"
"","Leon Flach","PHI","2021","M","$210,000","$223,750","2021-09-30"
"","João Moutinho","ORL","2021","D","$180,000","$223,000","2021-09-30"
"","Victor Ulloa","MIA","2021","M","$220,000","$220,000","2021-09-30"
"","Alejandro Fuenmayor","HOU","2021","D","$190,008","$217,508","2021-09-30"
"","Brian White","VAN","2021","F","$216,000","$216,000","2021-09-30"
"","Scott Caldwell","NER","2021","M","$205,000","$215,896","2021-09-30"
"","Juan Agudelo","MIN","2021","F","$200,000","$212,500","2021-09-30"
"","Aaron Schoenfeld","ATX","2021","F","$210,000","$210,000","2021-09-30"
"","Caleb Stanko","CIN","2021","M","$210,000","$210,000","2021-09-30"
"","Christopher Gloster","NYC","2021","D","$197,000","$207,000","2021-09-30"
"","Carlos Terán","CHI","2021","D","$150,000","$205,440","2021-09-30"
"","Donny Toia","RSL","2021","D","$200,000","$205,000","2021-09-30"
"","Zachary Brault-Guillard","MTL","2021","D","$170,000","$203,625","2021-09-30"
"","Clint Irwin","COL","2021","GK","$190,000","$203,300","2021-09-30"
"","Tristan Blackmon","LAFC","2021","D","$193,000","$203,000","2021-09-30"
"","Joe Bendik","PHI","2021","GK","$200,000","$200,000","2021-09-30"
"","Emmanuel Boateng","NER","2021","M","$200,000","$200,000","2021-09-30"
"","Jalil Anibaba","NSH","2021","D","$200,000","$200,000","2021-09-30"
"","James Sands","NYC","2021","D","$150,000","$200,000","2021-09-30"
"","Zac MacMath","RSL","2021","GK","$200,000","$200,000","2021-09-30"
"","Thiago","NYC","2021","F","$180,000","$199,600","2021-09-30"
"","Mauricio Pineda","CHI","2021","D","$175,000","$198,875","2021-09-30"
"","Joseph Mora","DCU","2021","D","$184,000","$198,600","2021-09-30"
"","Miguel Ángel Navarro","CHI","2021","D","$150,000","$197,000","2021-09-30"
"","Jordy Delem","SEA","2021","M","$175,000","$194,000","2021-09-30"
"","Júnior Moreno","DCU","2021","M","$184,000","$193,550","2021-09-30"
"","Ruan","ORL","2021","D","$190,000","$190,000","2021-09-30"
"","Jimmy Medranda","SEA","2021","M","$180,000","$190,000","2021-09-30"
"","Marco Farfan","LAFC","2021","D","$190,000","$190,000","2021-09-30"
"","Jhon Espinoza","CHI","2021","D","$162,000","$188,500","2021-09-30"
"","Andrés Perea","ORL","2021","M","$180,000","$188,500","2021-09-30"
"","Eric Calvillo","SJE","2021","M","$170,000","$188,000","2021-09-30"
"","Frankie Amaya","NYRB","2021","M","$150,000","$187,000","2021-09-30"
"","Freddy Vargas","FCD","2021","M","$160,000","$186,000","2021-09-30"
"","Nick Hagglund","CIN","2021","D","$175,000","$184,375","2021-09-30"
"","Derrick Jones","HOU","2021","M","$160,000","$182,969","2021-09-30"
"","Nnamdi Chinonso Offor","CHI","2021","F","$132,000","$181,400","2021-09-30"
"","Jay Chapman","MIA","2021","M","$167,500","$180,333","2021-09-30"
"","Kelyn Rowe","SEA","2021","M","$180,000","$180,000","2021-09-30"
"","Brandon Bye","NER","2021","D","$170,000","$178,875","2021-09-30"
"","Gilbert Fuentes","SJE","2021","M","$160,000","$178,750","2021-09-30"
"","Sebastien Ibeagha","LAFC","2021","D","$150,000","$177,125","2021-09-30"
"","JT Marcinkowski","SJE","2021","GK","$165,000","$177,000","2021-09-30"
"","Phelipe","FCD","2021","GK","$150,000","$176,250","2021-09-30"
"","Christian Makoun","MIA","2021","D","$175,000","$175,000","2021-09-30"
"","Róbert Orri Thorkelsson","MTL","2021","D","$150,000","$173,500","2021-09-30"
"","Erik Sorga","DCU","2021","F","$150,000","$173,000","2021-09-30"
"","Robbie Robinson","MIA","2021","F","$125,000","$170,000","2021-09-30"
"","Jacori Hayes","MIN","2021","M","$160,000","$169,833","2021-09-30"
"","Nouhou Tolo","SEA","2021","D","$125,000","$169,274","2021-09-30"
"","Cristián Gutiérrez","VAN","2021","D","$150,000","$167,500","2021-09-30"
"","Nick Besler","RSL","2021","M","$167,500","$167,500","2021-09-30"
"","Mustafa Kizza","MTL","2021","D","$150,000","$166,800","2021-09-30"
"","Steven Beitashour","COL","2021","D","$150,000","$165,000","2021-09-30"
"","Drew Moor","COL","2021","D","$150,000","$165,000","2021-09-30"
"","Tosaint Ricketts","VAN","2021","F","$160,000","$165,000","2021-09-30"
"","Thomas Roberts","FCD","2021","M","$150,000","$163,000","2021-09-30"
"","Daniel Ríos","NSH","2021","F","$140,000","$161,500","2021-09-30"
"","Chris Seitz","DCU","2021","GK","$160,000","$160,000","2021-09-30"
"","Brad Stuver","ATX","2021","GK","$150,000","$160,000","2021-09-30"
"","Brent Kallman","MIN","2021","D","$150,000","$158,125","2021-09-30"
"","Tyler Pasher","HOU","2021","F","$150,000","$157,881","2021-09-30"
"","Maynor Figueroa","HOU","2021","D","$150,000","$157,688","2021-09-30"
"","Ayo Akinola","TOR","2021","F","$89,513","$157,513","2021-09-30"
"","Andrew Putna","RSL","2021","GK","$140,000","$153,458","2021-09-30"
"","Rubio Rubín","RSL","2021","F","$135,000","$152,067","2021-09-30"
"","Nicolás Acevedo","NYC","2021","D","$135,000","$151,000","2021-09-30"
"","Pablo Sisniega","LAFC","2021","GK","$150,000","$150,000","2021-09-30"
"","Felipe","DCU","2021","M","$150,000","$150,000","2021-09-30"
"","Jack Maher","NSH","2021","D","$115,000","$149,000","2021-09-30"
"","Oniel Fisher","LAG","2021","D","$140,000","$147,625","2021-09-30"
"","Aidan Morris","CLB","2021","M","$145,000","$147,000","2021-09-30"
"","Eric Miller","NSH","2021","D","$147,000","$147,000","2021-09-30"
"","Jonathan Perez","LAG","2021","M","$125,000","$146,750","2021-09-30"
"","Brad Knighton","NER","2021","GK","$140,000","$146,750","2021-09-30"
"","James Pantemis","MTL","2021","GK","$130,000","$145,833","2021-09-30"
"","Caden Clark","NYRB","2021","M","$106,773","$143,973","2021-09-30"
"","Franco Fragapane","MIN","2021","M","$135,000","$142,500","2021-09-30"
"","Mohammed Adams","ATL","2021","M","$121,000","$141,000","2021-09-30"
"","Chris Odoi-Atsem","DCU","2021","D","$130,000","$141,000","2021-09-30"
"","Kortne Ford","COL","2021","D","$140,000","$140,000","2021-09-30"
"","George Bello","ATL","2021","D","$135,000","$139,000","2021-09-30"
"","Chris Mueller","ORL","2021","M","$123,715","$137,465","2021-09-30"
"","John McCarthy","MIA","2021","GK","$130,000","$136,583","2021-09-30"
"","Jack De Vries","PHI","2021","M","$120,000","$135,556","2021-09-30"
"","Amadou Dia","SKC","2021","D","$135,000","$135,000","2021-09-30"
"","Danilo Acosta","LAG","2021","D","$135,000","$135,000","2021-09-30"
"","Brek Shea","MIA","2021","M","$135,000","$135,000","2021-09-30"
"","Saad Abdul-Salaam","CLB","2021","D","$125,000","$133,667","2021-09-30"
"","Ethan Zubak","LAG","2021","F","$130,000","$133,125","2021-09-30"
"","Ashtone Morgan","RSL","2021","D","$132,000","$132,000","2021-09-30"
"","Andy Rose","VAN","2021","M","$132,000","$132,000","2021-09-30"
"","Cade Cowell","SJE","2021","F","$120,000","$130,000","2021-09-30"
"","Andre Shinyashiki","COL","2021","F","$120,000","$130,000","2021-09-30"
"","Omir Fernandez","NYRB","2021","M","$115,000","$130,000","2021-09-30"
"","Emanuel Maciel","MTL","2021","M","$118,182","$129,811","2021-09-30"
"","Niko Hansen","MIN","2021","M","$110,004","$129,004","2021-09-30"
"","Griffin Dorsey","HOU","2021","D","$110,000","$129,000","2021-09-30"
"","Daryl Dike","ORL","2021","F","$100,000","$128,750","2021-09-30"
"","Kieran Gibbs","MIA","2021","D","$120,000","$128,167","2021-09-30"
"","Grant Lillard","CLB","2021","D","$125,000","$127,500","2021-09-30"
"","Rodrigo Schlegel","ORL","2021","D","$120,000","$127,425","2021-09-30"
"","Derek Cornelius","VAN","2021","D","$127,050","$127,050","2021-09-30"
"","Edgar Castillo","CIN","2021","D","$121,000","$127,019","2021-09-30"
"","Donovan Pines","DCU","2021","D","$125,000","$127,000","2021-09-30"
"","Bobby Shuttleworth","CHI","2021","GK","$110,000","$125,750","2021-09-30"
"","Justin Morrow","TOR","2021","D","$125,000","$125,000","2021-09-30"
"","Derrick Etienne","CLB","2021","M","$125,000","$125,000","2021-09-30"
"","Dylan Nealis","NSH","2021","D","$100,000","$125,000","2021-09-30"
"","Ventura Alvarado","MIA","2021","D","$81,375","$124,708","2021-09-30"
"","John Nelson","FCD","2021","D","$115,000","$123,000","2021-09-30"
"","Kwadwo Opoku","LAFC","2021","F","$81,375","$122,430","2021-09-30"
"","Sebastian Berhalter","ATX","2021","M","$85,000","$122,250","2021-09-30"
"","Milan Iloski","RSL","2021","F","$120,000","$121,500","2021-09-30"
"","Brady Scott","ATX","2021","GK","$115,000","$121,236","2021-09-30"
"","Tajon Buchanan","NER","2021","F","$110,000","$121,000","2021-09-30"
"","Drake Callender","MIA","2021","GK","$120,000","$120,000","2021-09-30"
"","Cole Bassett","COL","2021","M","$110,000","$119,000","2021-09-30"
"","Kyle Smith","ORL","2021","D","$105,996","$118,660","2021-09-30"
"","Cameron Dunbar","LAG","2021","F","$100,000","$116,750","2021-09-30"
"","Jacob Shaffelburg","TOR","2021","M","$110,000","$116,500","2021-09-30"
"","Griffin Yow","DCU","2021","F","$110,000","$116,118","2021-09-30"
"","Benji Michel","ORL","2021","F","$109,250","$115,553","2021-09-30"
"","Eriq Zavaleta","TOR","2021","D","$81,375","$115,503","2021-09-30"
"","Matt Freese","PHI","2021","GK","$96,750","$115,500","2021-09-30"
"","Alec Kann","ATL","2021","GK","$115,000","$115,000","2021-09-30"
"","Shane O'Neill","SEA","2021","D","$115,000","$115,000","2021-09-30"
"","Henry Kessler","NER","2021","D","$95,000","$115,000","2021-09-30"
"","Tayvon Gray","NYC","2021","D","$95,000","$114,788","2021-09-30"
"","Mathieu Choinière","MTL","2021","M","$105,000","$114,238","2021-09-30"
"","Jeff Attinella","POR","2021","GK","$108,000","$114,125","2021-09-30"
"","Dante Sealy","FCD","2021","F","$100,000","$113,400","2021-09-30"
"","Noble Okello","TOR","2021","M","$100,000","$111,815","2021-09-30"
"","Jordan Harvey","LAFC","2021","D","$110,000","$110,000","2021-09-30"
"","Justin Rennicks","NER","2021","F","$100,000","$110,000","2021-09-30"
"","Tanner Beason","SJE","2021","D","$90,000","$110,000","2021-09-30"
"","Aboubacar Keita","CLB","2021","D","$110,000","$110,000","2021-09-30"
"","Edwin Cerrillo","FCD","2021","M","$95,000","$110,000","2021-09-30"
"","Anthony Fontana","PHI","2021","M","$100,008","$108,426","2021-09-30"
"","Kevin Paredes","DCU","2021","M","$100,000","$108,000","2021-09-30"
"","Jacob Akanyirige","SJE","2021","D","$105,000","$107,000","2021-09-30"
"","Jahkeele Marshall-Rutty","TOR","2021","F","$100,000","$106,842","2021-09-30"
"","Jayden Nelson","TOR","2021","F","$100,000","$106,586","2021-09-30"
"","Matt Bersano","SJE","2021","GK","$106,375","$106,375","2021-09-30"
"","Tsubasa Endoh","TOR","2021","M","$100,000","$105,333","2021-09-30"
"","José Van Rankin","POR","2021","D","$105,255","$105,255","2021-09-30"
"","Evan Newton","VAN","2021","GK","$95,000","$104,802","2021-09-30"
"","Gabriel Slonina","CHI","2021","GK","$100,000","$104,800","2021-09-30"
"","Juan Pablo Torres","NYC","2021","M","$90,000","$104,500","2021-09-30"
"","Kenneth Vermeer","CIN","2021","GK","$81,375","$104,375","2021-09-30"
"","Siad Haji","SJE","2021","F","$95,000","$104,000","2021-09-30"
"","Matthew Hundley","COL","2021","F","$95,000","$104,000","2021-09-30"
"","Ryan Raposo","VAN","2021","M","$90,000","$104,000","2021-09-30"
"","Marcus Ferkranus","LAG","2021","D","$90,000","$103,625","2021-09-30"
"","Jalen Neal","LAG","2021","D","$90,000","$103,625","2021-09-30"
"","David Loera","ORL","2021","M","$100,000","$102,500","2021-09-30"
"","Elliot Collier","CHI","2021","M","$101,375","$101,375","2021-09-30"
"","Danny Leyva","SEA","2021","M","$81,375","$100,798","2021-09-30"
"","Andy Najar","DCU","2021","D","$90,000","$100,000","2021-09-30"
"","DeJuan Jones","NER","2021","D","$95,000","$99,938","2021-09-30"
"","Daniel Pereira Gil","ATX","2021","M","$81,375","$99,793","2021-09-30"
"","Dayne St. Clair","MIN","2021","GK","$95,000","$99,520","2021-09-30"
"","Tyler Freeman","SKC","2021","F","$95,000","$97,500","2021-09-30"
"","Florian Valot","CIN","2021","M","$93,581","$97,498","2021-09-30"
"","Issiar Dramé","NYRB","2021","D","$81,375","$97,158","2021-09-30"
"","Jesús Bueno","PHI","2021","M","$81,375","$96,753","2021-09-30"
"","Raheem Edwards","LAFC","2021","D","$96,375","$96,375","2021-09-30"
"","Kendall McIntosh","SKC","2021","GK","$96,375","$96,375","2021-09-30"
"","Stefan Cleveland","SEA","2021","GK","$96,375","$96,375","2021-09-30"
"","Calvin Harris","CIN","2021","F","$81,375","$96,375","2021-09-30"
"","Zackery Farnsworth","RSL","2021","D","$81,375","$96,125","2021-09-30"
"","Alfonso Ocampo-Chavez","SEA","2021","F","$81,375","$95,875","2021-09-30"
"","Michael Halliday","ORL","2021","D","$85,444","$95,089","2021-09-30"
"","Jaylin Lindsey","SKC","2021","D","$91,547","$94,547","2021-09-30"
"","Tom Barlow","NYRB","2021","F","$81,375","$94,526","2021-09-30"
"","Liam Fraser","CLB","2021","M","$89,513","$94,513","2021-09-30"
"","Phillip Mayaka","COL","2021","M","$81,375","$94,375","2021-09-30"
"","Mamadou Fall","LAFC","2021","D","$81,375","$94,125","2021-09-30"
"","Zorhan Ludovic Bassong","MTL","2021","D","$81,375","$93,875","2021-09-30"
"","Kyle Duncan","NYRB","2021","D","$93,581","$93,581","2021-09-30"
"","Alex Roldan","SEA","2021","M","$93,581","$93,581","2021-09-30"
"","Kyle Scott","CIN","2021","M","$81,375","$92,458","2021-09-30"
"","Erik Duenas","LAFC","2021","D","$90,444","$92,444","2021-09-30"
"","Sebastian Anderson","COL","2021","D","$90,000","$91,667","2021-09-30"
"","Paxten Aaronson","PHI","2021","M","$87,500","$91,500","2021-09-30"
"","Mohamed Traore","LAFC","2021","D","$91,444","$91,444","2021-09-30"
"","Michael Baldisimo","VAN","2021","M","$89,513","$91,275","2021-09-30"
"","Andre Rawls","COL","2021","GK","$85,000","$91,000","2021-09-30"
"","Christian Torres","LAFC","2021","F","$79,738","$90,968","2021-09-30"
"","Clément Bayiha","MTL","2021","M","$85,500","$90,875","2021-09-30"
"","Joel Waterman","MTL","2021","D","$81,375","$90,284","2021-09-30"
"","Adrián Zendejas","MIN","2021","GK","$81,375","$90,208","2021-09-30"
"","Trey Muse","SEA","2021","GK","$81,375","$90,125","2021-09-30"
"","Matt Real","PHI","2021","D","$90,000","$90,000","2021-09-30"
"","David Ochoa","RSL","2021","GK","$90,000","$90,000","2021-09-30"
"","Tate Schmitt","RSL","2021","F","$90,000","$90,000","2021-09-30"
"","Erik Holt","RSL","2021","D","$90,000","$90,000","2021-09-30"
"","Bryce Duke","LAFC","2021","M","$90,000","$90,000","2021-09-30"
"","Christopher Garcia","RSL","2021","F","$85,444","$89,744","2021-09-30"
"","Taylor Washington","NSH","2021","D","$89,513","$89,513","2021-09-30"
"","Olivier Mbaizo","PHI","2021","D","$89,513","$89,513","2021-09-30"
"","Andre Reynolds","CHI","2021","D","$81,375","$89,375","2021-09-30"
"","Manny Perez","ATX","2021","M","$63,547","$89,214","2021-09-30"
"","Justin Che","FCD","2021","D","$80,000","$89,209","2021-09-30"
"","Andy Thomas","SEA","2021","GK","$81,375","$88,875","2021-09-30"
"","Alvas Powell","PHI","2021","D","$81,375","$88,875","2021-09-30"
"","Bret Halsey","RSL","2021","D","$81,375","$88,875","2021-09-30"
"","Ethan Bartlow","HOU","2021","D","$81,375","$88,875","2021-09-30"
"","Cole Turner","PHI","2021","M","$85,444","$88,444","2021-09-30"
"","Moses Nyeman","DCU","2021","M","$85,444","$88,230","2021-09-30"
"","Casey Walls","SJE","2021","D","$85,000","$88,000","2021-09-30"
"","Paul Marie","SJE","2021","D","$81,375","$87,908","2021-09-30"
"","Bento Estrela","NYRB","2021","M","$63,547","$87,547","2021-09-30"
"","Nathan Harriel","PHI","2021","D","$70,000","$87,500","2021-09-30"
"","Bryan Meredith","NSH","2021","GK","$81,375","$87,375","2021-09-30"
"","Adam Saldana","LAG","2021","M","$81,375","$87,309","2021-09-30"
"","Ben Lundt","CIN","2021","GK","$85,444","$87,019","2021-09-30"
"","Tomás Romero","LAFC","2021","GK","$81,375","$86,375","2021-09-30"
"","John Tolkin","NYRB","2021","D","$81,375","$86,375","2021-09-30"
"","Ben Mines","CIN","2021","M","$81,375","$86,239","2021-09-30"
"","Karifa Yao","MTL","2021","D","$81,375","$85,591","2021-09-30"
"","Wyatt Omsberg","CHI","2021","D","$85,444","$85,444","2021-09-30"
"","Danny Musovski","LAFC","2021","F","$85,444","$85,444","2021-09-30"
"","Kamal Miller","MTL","2021","D","$85,444","$85,444","2021-09-30"
